_id,mname,tag,mlength,releaseday,isSequel,type,region,distributor,boxoffice_tot,boxoffice_pm,boxoffice_1std,boxoffice_1stw,boxoffice_1stwk
657876,亚瑟王：斗兽争霸,动作 冒险 剧情,127,2017/5/12,0,3D,美国,中影,57100000,228000,11800000,36900000,24900000
639686,毒。诫,动作 传记 犯罪,100,2017/5/12,0,2D,中国/中国香港,银都机构（广州） 摩天石文化 天津耳东影业,40300000,425000,11900000,28500000,16100000
661849,超凡战队,动作 科幻 冒险,125,2017/5/12,0,3D 2D,中国香港/美国/加拿大,中影,30100000,327000,9630000,24500000,14600000
631232,提着心吊着胆,喜剧 悬疑 犯罪,97,2017/5/12,0,2D,中国,娱跃影业 微影时代 华夏...,13700000,701000,3600000,9520000,5920000
641042,碟仙前传,惊悚 恐怖,89,2017/5/12,0,2D,中国,环鹰时代,3150000,6000,718000,1500000,781000
641028,20:16,剧情 运动,100,2017/5/18,0,2D,中国,影创天地,4910000,65000,1220000,3220000,1500000
657817,异星觉醒,科幻 灾难 惊悚,104,2017/5/19,0,2D,美国,中影 华夏,136000000,916000,25100000,91000000,65000000
643989,守护者：世纪战元,科幻 动作 冒险,90,2017/5/19,0,3D,俄罗斯,华夏,20200000,169000,5290000,15900000,10400000
656607,当怪物来敲门,奇幻 剧情 儿童,108,2017/5/19,0,2D,美国/英国/西班牙,华夏,14600000,101000,2570000,10900000,8290000
641280,抢红,动作 犯罪 枪战,90,2017/5/19,0,2D,中国/中国香港,北京寰亚发行 无限自在 众合千澄...,16300000,70000,5820000,13200000,7330000
642158,美容针,爱情 剧情,97,2017/5/19,0,2D,中国,五洲电影 万达影业（青岛） 华夏,10100000,76000,2250000,7520000,5190000
627813,不期而遇,爱情 喜剧 公路,94,2017/5/19,0,2D,中国/美国,电广影业 聚禾影画 北京新影联...,7100000,31000,1480000,5420000,3910000
659751,加勒比海盗5：死无对证,动作 奇幻 冒险,129,2017/5/26,1,3D IMAX 2D,美国,中影 华夏,1180000000,14600000,133000000,469000000,321000000
643425,荡寇风云,战争 动作,129,2017/5/27,0,2D,中国/中国香港,霍尔果斯博纳 华夏,65100000,867000,15000000,28700000,27900000
630645,“吃吃”的爱,爱情 喜剧,91,2017/5/27,0,2D,中国,乐视影业,27500000,402000,8190000,14600000,14400000
664833,三只小猪2,动画 冒险,70,2017/5/27,1,3D 2D,中国,文投艺达 优漫卡通,24600000,4560000,1140000,5040000,5030000
662472,我的爸爸是国王,动画 喜剧,84,2017/5/27,0,3D 2D,中国,先锋传奇 东阳影响力 腾清动漫...,15700000,4000,577000,2930000,2930000
631379,临时演员,爱情 喜剧,93,2017/5/27,0,2D,中国,星美影视发行,12900000,28000,4210000,7080000,7070000
640099,夏天19岁的肖像,爱情 悬疑,105,2017/5/27,0,2D,中国,猫眼文化 霍尔果斯大盛国际 浮生影业...,9370000,197000,3180000,5430000,5370000
654416,诡异酒楼,惊悚 恐怖,90,2017/5/26,0,2D,中国,金亿乾坤发行 十品影业,1660000,9000,198000,447000,247000
665350,哆啦A梦：大雄的南极冰冰凉大冒险,动画 冒险,101,2017/5/30,1,2D,日本,华夏 凤仪（内蒙古）影业,149000000,56000,33900000,115000000,25000000
401891,神奇女侠,动作 奇幻 冒险,142,2017/6/2,0,3D IMAX,美国,中影 华夏,610000000,7030000,74000000,266000000,185000000
644326,美好的意外,喜剧 奇幻,105,2017/6/2,0,2D,中国,华谊兄弟,17600000,136000,4330000,10900000,6510000
354716,迷失Z城,动作 冒险 传记,104,2017/6/2,0,2D,美国,华夏,7040000,6000,1840000,4590000,2750000
659758,新木乃伊,动作 奇幻 冒险,106,2017/6/9,0,3D IMAX,美国,中影 华夏,626000000,9130000,120000000,360000000,231000000
656460,忠爱无言,剧情 动物,87,2017/6/9,0,2D,中国,环鹰时代,25600000,47000,115000,2570000,2420000
617233,异兽来袭,科幻 惊悚 灾难,87,2017/6/9,0,2D,中国,大顺（北京）影视,10100000,,345000,2060000,1710000
611496,李雷和韩梅梅,爱情 青春,90,2017/6/9,0,2D,中国,大地时代发行 横店电影发行 金逸影视,40700000,43000,11900000,31100000,19200000
644946,碟仙之毕业照,惊悚 恐怖,87,2017/6/9,0,2D,中国,东阳四月天,3080000,8000,718000,1710000,980000
657849,异形：契约,科幻 惊悚 冒险,116,2017/6/16,1,IMAX 2D,美国,中影 华夏,311000000,6460000,70000000,200000000,124000000
613847,重返·狼群,纪录片 动物,98,2017/6/16,0,2D,中国,青春光线 猫眼文化 华夏,33000000,1210000,2610000,12000000,9140000
625947,中国推销员,动作 枪战 剧情 爱情 战争,110,2017/6/16,0,2D,中国,中影 五洲电影,10100000,130000,3030000,7280000,4210000
643752,借眼,惊悚 悬疑,90,2017/6/16,0,3D 2D,中国,基点影视,4730000,15000,1270000,2720000,1430000
642783,冈仁波齐,纪录片 剧情,117,2017/6/20,0,2D,中国,华夏 马灯电影,100000000,74000,1750000,17000000,9060000
658495,雄狮,剧情,119,2017/6/22,0,2D,澳大利亚,华夏,17200000,195000,2040000,9680000,5890000
656946,变形金刚5：最后的骑士,动作 冒险 科幻,150,2017/6/23,1,3D IMAX 2D,美国,中影 华夏,1550000000,42300000,290000000,872000000,540000000
666103,原谅他77次,爱情 剧情,97,2017/6/23,0,2D,中国香港,星美影业,75500000,117000,3220000,14900000,11600000
